Train_No,Origin_Code,Origin_Station,Destination_Code,Destination_Station,Total_Distance,Total_Stations,Number_of_Stops,Departure_Minutes,Arrival_Minutes,Journey_Duration_Minutes,Journey_Duration_Hours
6853,KIK,KARAIKAL,NCR,NAGORE,10.0,3,1,885,908,23,0.38
6854,NCR,NAGORE,KIK,KARAIKAL,10.0,3,1,850,875,25,0.42
6919,UBL,HUBLI JN.,BJP,BIJAPUR JN,247.0,36,34,385,801,416,6.93
6920,BJP,BIJAPUR JN,UBL,HUBLI JN.,248.0,36,34,810,1221,411,6.85
7005,HYB,HYDERABAD DE,RXL,RAXAUL JN.,2276.0,34,32,1290,1050,2640,44.0
7006,RXL,RAXAUL JN.,HYB,HYDERABAD DE,2297.0,34,32,90,1395,2745,45.75
7007,SC,SECUNDERABAD,DBG,DARBHANGA JN,2023.0,27,25,1320,825,2385,39.75
7008,DBG,DARBHANGA JN,SC,SECUNDERABAD,2033.0,28,26,300,1330,2470,41.17
7016,KCG,KACHEGUDA,VSKP,VISAKHAPATNA,670.0,18,16,1125,470,785,13.08
7044,TPTY,TIRUPATI,VSKP,VISAKHAPATNA,735.0,11,9,1005,470,905,15.08
7061,COA,KAKINADA POR,BZA,VIJAYWADA JN,217.0,8,6,540,810,270,4.5
7062,VLNK,VELANKANNI,TPTY,TIRUPATI,437.0,14,12,900,210,750,12.5
7075,SC,SECUNDERABAD,CCT,KAKINADA TOW,554.0,17,15,1160,330,610,10.17
7076,CCT,KAKINADA TOW,SC,SECUNDERABAD,553.0,17,15,1090,360,710,11.83
7109,HYB,HYDERABAD DE,QLN,QUILON,1589.0,40,38,955,1390,1875,31.25
7110,QLN,QUILON,HYB,HYDERABAD DE,1593.0,40,38,135,630,1935,32.25
7113,KRMR,KARIM NAGAR,QLN,QUILON,1543.0,37,35,960,1390,1870,31.17
7133,HYB,HYDERABAD DE,QLN,QUILON,1508.0,39,37,930,1390,1900,31.67
7134,QLN,QUILON,HYB,HYDERABAD DE,1511.0,39,37,135,630,1935,32.25
7141,HYB,HYDERABAD DE,QLN,QUILON,1560.0,39,37,975,1390,1855,30.92
7142,QLN,QUILON,HYB,HYDERABAD DE,1563.0,39,37,135,510,1815,30.25
7146,TPTY,TIRUPATI,KCG,KACHEGUDA,763.0,16,14,1020,390,810,13.5
7149,SC,SECUNDERABAD,GHY,GUWAHATI,2563.0,37,35,450,525,2955,49.25
7211,CCT,KAKINADA TOW,QLN,QUILON,1433.0,36,34,1430,390,1840,30.67
7212,QLN,QUILON,CCT,KAKINADA TOW,1436.0,36,34,570,810,1680,28.0
7213,BZA,VIJAYWADA JN,QLN,QUILON,1221.0,29,27,240,390,1590,26.5
7214,QLN,QUILON,BZA,VIJAYWADA JN,1226.0,30,28,570,575,1445,24.08
7217,NS,NARASAPUR,QLN,QUILON,1360.0,37,35,1430,390,1840,30.67
7218,QLN,QUILON,NS,NARASAPUR,1363.0,37,35,570,825,1695,28.25
7410,TPTY,TIRUPATI,AWB,AURANGABAD,1147.0,29,27,555,570,1455,24.25
7417,TPTY,TIRUPATI,NSL,NAGARSOL,1330.0,33,31,450,715,1705,28.42
7418,NSL,NAGARSOL,TPTY,TIRUPATI,1331.0,33,31,1320,240,1800,30.0
7425,KCG,KACHEGUDA,COA,KAKINADA POR,537.0,15,13,1125,360,675,11.25
7426,COA,KAKINADA POR,KCG,KACHEGUDA,537.0,15,13,1070,310,680,11.33
7429,SC,SECUNDERABAD,TPTY,TIRUPATI,742.0,11,9,1110,420,750,12.5
7430,TPTY,TIRUPATI,SC,SECUNDERABAD,744.0,11,9,855,240,825,13.75
7431,CCT,KAKINADA TOW,TPTY,TIRUPATI,597.0,13,11,1210,430,660,11.0
7432,TPTY,TIRUPATI,CCT,KAKINADA TOW,597.0,14,12,1020,240,660,11.0
7435,CCT,KAKINADA TOW,SC,SECUNDERABAD,555.0,14,12,1080,360,720,12.0
7436,SC,SECUNDERABAD,CCT,KAKINADA TOW,554.0,15,13,1155,440,725,12.08
7438,KCG,KACHEGUDA,TATA,TATANAGAR JN,1533.0,28,26,780,1185,1845,30.75
7439,TATA,TATANAGAR JN,KCG,KACHEGUDA,1533.0,28,26,1370,300,1810,30.17
7487,TPTY,TIRUPATI,VSKP,VISAKHAPATNA,735.0,11,9,1350,645,735,12.25
7505,AWB,AURANGABAD,QLN,QUILON,1973.0,49,47,660,225,2445,40.75
7509,ADB,ADILABAD,QLN,QUILON,1886.0,47,45,805,225,2300,38.33
7517,BIDR,BIDAR,PVR,PANDHARPUR,350.0,9,7,1350,465,555,9.25
7525,SGUJ,SILIGURI JN.,NBQ,NEW BONGAIGA,322.0,33,31,720,1275,555,9.25
7526,NBQ,NEW BONGAIGA,SGUJ,SILIGURI JN.,322.0,33,31,300,900,600,10.0
7603,KCG,KACHEGUDA,KJM,KRISHNA RAJA,624.0,14,12,1080,360,720,12.0
7604,KJM,KRISHNA RAJA,KCG,KACHEGUDA,624.0,14,12,925,415,930,15.5
7607,NED,NANDED,TPTY,TIRUPATI,1014.0,19,17,1125,840,1155,19.25
7608,TPTY,TIRUPATI,NED,NANDED,1016.0,19,17,945,690,1185,19.75
7613,NZB,NIZAMABAD,QLN,QUILON,1636.0,38,36,730,1390,2100,35.0
7614,QLN,QUILON,NZB,NIZAMABAD,1641.0,39,37,135,795,2100,35.0
7644,CCT,KAKINADA TOW,TPTY,TIRUPATI,597.0,11,9,1210,465,695,11.58
7645,RU,RENIGUNTA JN,CCT,KAKINADA TOW,587.0,10,8,1380,495,555,9.25
7757,SC,SECUNDERABAD,BZA,VIJAYWADA JN,314.0,6,4,330,645,315,5.25
7758,BZA,VIJAYWADA JN,SC,SECUNDERABAD,314.0,6,4,1050,1370,320,5.33
7941,CCT,KAKINADA TOW,RU,RENIGUNTA JN,587.0,12,10,1140,360,660,11.0
7942,TPTY,TIRUPATI,CCT,KAKINADA TOW,597.0,13,11,1140,330,630,10.5
8001,KGP,KHARAGPUR,JGM,JHARGRAM,39.0,2,0,610,645,35,0.58
8002,JGM,JHARGRAM,KGP,KHARAGPUR,39.0,2,0,1105,1150,45,0.75
8014,MDN,MIDNAPORE,KGP,KHARAGPUR,12.0,4,2,505,545,40,0.67
8017,KGP,KHARAGPUR,JGM,JHARGRAM,39.0,6,4,310,360,50,0.83
8018,JGM,JHARGRAM,KGP,KHARAGPUR,39.0,6,4,1300,1355,55,0.92
8035,KGP,KHARAGPUR,BLS,BALASORE,120.0,19,17,735,910,175,2.92
8036,BLS,BALASORE,KGP,KHARAGPUR,120.0,19,17,920,1100,180,3.0
8051,KGP,KHARAGPUR,JGM,JHARGRAM,39.0,3,1,365,394,29,0.48
8052,JGM,JHARGRAM,KGP,KHARAGPUR,39.0,5,3,1115,1160,45,0.75
8061,SHM,SHALIMAR,JP,JAIPUR JN.,1847.0,24,22,1220,395,2055,34.25
8062,JP,JAIPUR JN.,SHM,SHALIMAR,1838.0,24,22,765,1400,2075,34.58
8063,KGP,KHARAGPUR,BQA,BANKURA,115.0,17,15,1140,1320,180,3.0
8064,YPR,YESVANTPUR J,HWH,HOWRAH JN.,2039.0,16,14,60,550,1930,32.17
8065,KGP,KHARAGPUR,BQA,BANKURA,115.0,17,15,910,1070,160,2.67
8082,BQA,BANKURA,VSU,BISHNUPUR,30.0,6,4,1340,1370,30,0.5
8087,VSU,BISHNUPUR,BQA,BANKURA,30.0,6,4,415,443,28,0.47
8101,CBSA,CHAIBASA,CKP,CHAKARADHARP,40.0,5,3,1275,1355,80,1.33
8102,CKP,CHAKARADHARP,CBSA,CHAIBASA,40.0,5,3,1200,1255,55,0.92
8301,SBP,SAMBALPUR JN,BAND,BANASWADI,1567.0,15,13,570,1000,1870,31.17
8302,BAND,BANASWADI,SBP,SAMBALPUR JN,1567.0,15,13,30,395,1805,30.08
8403,PURI,PURI,SRC,SANTRAGACHI,495.0,9,7,1285,405,560,9.33
8404,SRC,SANTRAGACHI,PURI,PURI,497.0,9,7,1150,240,530,8.83
8501,VSKP,VISAKHAPATNA,SC,SECUNDERABAD,700.0,13,11,1380,720,780,13.0
8502,SC,SECUNDERABAD,VSKP,VISAKHAPATNA,698.0,13,11,990,290,740,12.33
8511,KRDL,KIRANDUL,VSKP,VISAKHAPATNA,471.0,12,10,900,180,720,12.0
8512,VSKP,VISAKHAPATNA,KRDL,KIRANDUL,471.0,12,10,1335,600,705,11.75
8567,VSKP,VISAKHAPATNA,QLN,QUILON,1571.0,29,27,1380,225,1725,28.75
8568,QLN,QUILON,VSKP,VISAKHAPATNA,1578.0,29,27,345,750,1845,30.75
8573,VSKP,VISAKHAPATNA,TPTY,TIRUPATI,760.0,15,13,1375,805,870,14.5
8574,TPTY,TIRUPATI,VSKP,VISAKHAPATNA,759.0,15,13,930,410,920,15.33
8581,BPQ,BALHARSHAH,CAF,CHANDAFORT,11.0,2,0,1410,1430,20,0.33
8582,CAF,CHANDAFORT,BPQ,BALHARSHAH,11.0,2,0,285,300,15,0.25
8617,RNC,RANCHI,ANVT,ANAND VIHAR,1365.0,15,13,845,835,1430,23.83
8618,ANVT,ANAND VIHAR,RNC,RANCHI,1356.0,15,13,1370,1350,1420,23.67
8627,HWH,HOWRAH JN.,RNC,RANCHI,484.0,13,11,770,1330,560,9.33
8628,RNC,RANCHI,HWH,HOWRAH JN.,481.0,14,12,345,915,570,9.5
8872,DURG,DURG,G,GONDIA JN.,133.0,17,15,1290,15,165,2.75
9003,BDTS,BANDRA TERMI,NZM,HAZRAT NIZAM,1355.0,5,3,965,360,835,13.92
9004,NZM,HAZRAT NIZAM,BDTS,BANDRA TERMI,1358.0,5,3,975,370,835,13.92
9005,BCT,MUMBAI CENTR,NDLS,NEW DELHI,1373.0,4,2,960,475,955,15.92
9006,NDLS,NEW DELHI,BCT,MUMBAI CENTR,1376.0,4,2,890,415,965,16.08
9011,BDTS,BANDRA TERMI,BKN,BIKANER JN.,1209.0,20,18,675,565,1330,22.17
9012,BKN,BIKANER JN.,BDTS,BANDRA TERMI,1211.0,20,18,890,765,1315,21.92
9433,BDTS,BANDRA TERMI,GIMB,GANDHIDHAM J,780.0,14,12,25,830,805,13.42
9434,GIMB,GANDHIDHAM J,BDTS,BANDRA TERMI,780.0,14,12,995,375,820,13.67
9621,AII,AJMER JN.,BDTS,BANDRA TERMI,1281.0,12,10,390,285,1335,22.25
9622,BDTS,BANDRA TERMI,AII,AJMER JN.,1281.0,12,10,375,205,1270,21.17
9721,JP,JAIPUR JN.,UDZ,UDAIPUR CITY,429.0,12,10,375,810,435,7.25
9722,UDZ,UDAIPUR CITY,JP,JAIPUR JN.,429.0,12,10,905,1325,420,7.0
9761,SGNR,SHRI GANGANA,SOG,SURATGARH JN,125.0,13,11,260,425,165,2.75
9809,KOTA,KOTA,NZM,HAZRAT NIZAM,447.0,11,9,1270,260,430,7.17
9810,NZM,HAZRAT NIZAM,KOTA,KOTA,450.0,11,9,315,795,480,8.0
10103,CSMT,CST-MUMBAI,MAO,MADGOAN JN.,590.0,20,18,430,1125,695,11.58
10104,MAO,MADGOAN JN.,CSMT,CST-MUMBAI,594.0,20,18,555,1300,745,12.42
10111,CSMT,CST-MUMBAI,MAO,MADGOAN JN.,590.0,20,18,1385,645,700,11.67
10112,MAO,MADGOAN JN.,CSMT,CST-MUMBAI,594.0,20,18,1080,350,710,11.83
10215,MAO,MADGOAN JN.,ERS,ERNAKULAM. J,726.0,13,11,1290,655,805,13.42
10216,ERS,ERNAKULAM. J,MAO,MADGOAN JN.,727.0,13,11,830,195,805,13.42
11001,SNSI,SAI NAGAR SH,PVR,PANDHARPUR,348.0,12,10,300,735,435,7.25
11002,PVR,PANDHARPUR,SNSI,SAI NAGAR SH,348.0,12,10,780,1225,445,7.42
11003,DR,DADAR,SWV,SAWANTWADI R,502.0,21,19,5,640,635,10.58
11004,SWV,SAWANTWADI R,DR,DADAR,504.0,21,19,1130,405,715,11.92
11005,DR,DADAR,PDY,PONDICHERRY,1636.0,39,37,1290,435,2025,33.75
11006,PDY,PONDICHERRY,DR,DADAR,1639.0,38,36,1250,340,1970,32.83
11007,CSMT,CST-MUMBAI,PUNE,PUNE JN.,191.0,12,10,420,665,245,4.08
